,tokenized
27627,"['최악', '케이스', '용이', '라고', '샀는데', '케이', '쓰에', '닿아서', '필름', '뜨고', '난리', '남절때', '비추']"
82455,"['좋아용', '살짝', '비싼', '감은있지만', '좋아요', 'ㅎㅎ']"
111364,"['소리', '잘안나요']"
199468,"['벌레', '먹거나', '썪', '이렇게', '많은', '밤', '처음', '봅니다']"
65575,"['스펀지', '보다', '위생', '적이네요']"
149870,"['장시간', '사용', '니', '꽉', '조이는', '낌', '심해서', '발', '아파요']"
28663,"['사진', '그대로', '좋습니다']"
3697,"['같은', '쇼핑몰', '인데', '배송비', '따로', '받는건', '뭔', '가요']"
113279,"['색소', '얼마나', '많이', '들어가있는지는', '모르겠으나', '빨래', '할', '때', '마다', '얼룩', '생기', '요', '사진', '흰', '티', '사고', '처음', '빨', '옷', '입니다', '조명', '때문', '색', '변해', '보이는게', '아니라', '누렇', '얼룩', '군데군데', '있어', '그런거에요', '사실', '때', '참고하셔요']"
100222,"['재단', '막', '자른듯', '비틀어지게', '재단', '을해', '서', '안좋더라고요', '정사', '이즈', '보다', '넉넉', '이주', '문해', '야할듯', '요']"
125071,"['꼼꼼하게잘', '포장', '되서', '왔어요', '써', '봐야', '알겠지만', '좋을꺼라', '생각', '해', '요']"
140288,"['진짜', '맛', '이별', '로', '요', '후라이팬', '볶아', '먹었는데', '무슨', '고무', '먹는', '느낌', '인데', '그냥', '마트', '에서', '사먹는', '일반', '어묵', '이나']"
19803,"['갑자기', '잡힌', '캠핑', '급하게주', '문해', '서', '받았는데', '정말', '다음', '날', '받았어요', '총알', '배송', '넘', '감사했어요', '생각', '보다', '크기', '도크', '너무', '만족합니다']"
73865,"['편리해요', '아무래도', '쇠날', '보다', '튀는게', '적어서', '풀', '깎기가', '좋네요', '확실히', '편하고', '근데', '사용', '법', '처음', '엔', '조금', '어려워서', '적응하는데', '시간', '좀', '걸립니다']"
108355,"['이건', '별', 'ㅅ', '누', '여러가지', '주문', '했는데', '이건', '좀', '별', '루', '요', '너', '무인', '조', '티', '팍팍', '나서하', '무', '만에', '떼고', '다른거', '붙였네요']"
95105,"['배송', '엉망', '예요', '비닐', '찢어져서', '왔어요']"
73420,"['정말', '맛있게잘', '먹었', '엉', 'ㄷ']"
162762,"['배송', '빠르고', '상품', '잡고', '쓰기', '편하고', '누르면', '앞', '부분', '들어가니', '휴대', '하기에도', '좋아요']"
41586,"['어이없네요', '거', '파란색', '염색', '머리', '이상한', '색', '으로만', '들고', '머리', '결', '만상', '하고', '매직', '두', '안됫', '요', '게뭐', '예요', '미역', '됫', '요', '그냥', '드라이기', '로', '말려도', '마르진', '않고', '암튼', '탈색', '많이', '해보고', '염색', '금방', '신분', '비추예요']"
107412,"['효과', '개', '차가있겠지만', '솔직히난', '잘', '모르겠다']"
14289,"['신발', '놓을', '곳', '없었는데', '정리', '해서', '너무', '좋아요']"
61153,"['가격', '대비', '김치양', '너무', '작아요']"
116425,"['배송', '정말', '정말', '느리', '고문', '답변', '없으셔서', '취소', '신청', '니', '그제야', '발송', '처리', '됐다며', '취소', '안되더라고요', '선물', '려고', '샀는데', '너무', '늦게', '받아서', '좀', '그렇네요']"
177784,"['포장', '좀', '잘해주세요', '영념', '장', '칼', '로', '찢어서', '보내시나']"
86698,"['맛없어용', '그냥', '그래요']"
103955,"['팩', '양', '정말', '작네요']"
113763,"['색감', '이쁘고', '매일', '만들어', '먹어요']"
24343,"['가격', '대비', '별로', '비싸요']"
148580,"['정말', '금방', '터져서', '버렸어요', '내', '부도', '엉', '성하고', '싼데는', '유가', '있는걸', '알', '아', '버렸지', '뭐', '야']"
80481,"['재구매', '네이비', '사서', '마음', '들어서', '베이지', '다시', '주문', '했는데', '길이', '감다', '좋아요']"
34355,"['실버', '핑크', '중', '색상', '고민', '좀', '했었는데', '두', '가지', '구입', '할', '껄', '후회', '스트랩', '밴드', '너무', '맘', '들고', '피부', '뽀얀', '제팔', '과도', '너무', '잘', '어울리네요', 'ㅎ', '딸아이', '가보더니자', '기도', '사주', '라고', '가격', '품질', '만족합니다']"
46831,"['굿', '아', '주', '맛', '잇어요']"
15945,"['고리', '갑자기', '부러졌어요', '생각', '보다', '크기', '작아서', '수납', '좀', '아쉬워요']"
191618,"['재구매', '카멜', '브라운', '너무', '좋아요', '느낌', '좋지만', '색감', '때문', '더', '좋네요']"
3790,"['디자인', '내', '구성', '생각', '보다', '훨신', '좋네요']"
30760,"['피지', '어디서', '올라온다는', '건지아', '직', '잘', '모르겠네요']"
82986,"['가격', '적인면에서', '결코', '싼', '제품', '아닌데', '밑', '밴', '딩', '부분', '너무', '늘어져서', '왔네요', '컬리', '티', '너무', '떨어집니다', '벌구매', '했는데', 'ㅡㅡ', '둘다', '똑같네요']"
169611,"['단', '짠단', '짠맛', '나네요', 'ㅎㅎㅎ']"
73989,"['재구매', '너무', '짜요', '편하구', '좋긴', '해', '요', '건강', '식', '인데', '안', '짰음', '좋겠어요', '특히', '팩']"
36153,"['튼튼하고', '좋습니다', '만족']"
21566,"['저렴한', '걸', '로', '만족해요']"
164374,"['야채', '너무', '싸구려', '이네', '요', '중국집', '냉동', '야', '채인듯', '그리고', '렌', '돌리면', '야채', '너', '무익', '닭', '가슴', '살', '너무', '차갑습니다', '소스', '부족하고다', '신안', '사먹을듯', 'ㅋ']"
2558,"['좋아요', '연장', '필요하긴', '했디', '만', '설치', '생각', '보다', '어렵지', '않았', '고화질', '좋네요', '화질', '집', '있는', '승용차', '순정', '카메라', '보다', '좋은', '거', '같습니다']"
63860,"['배송', '빠른대', '제품', '글쎄', '요타', '프웨', '빙', '으로', '할려', '구', '구입', '했는대', '그', '용도', '보다는', '그냥', '스트', '링용', '으로써야', '될것', '같아요', '길이', '도제', '원하는만큼', '줄일수가', '없네요']"
114802,"['잘', '마셨어요', '빠른', '배송', '감동', '입니다']"
115993,"['발', '편하고', '착', '화', '감', '생각', '보다', '좋아요']"
94702,"['캔', '주문', '했는데', '캔', '왔습니다', '짜증나네요', '이런', '후기', '많던데', '제대로', '조치', '해주세요']"
104560,"['재구매', '아주', '좋아요', '늘', '시켜', '먹여요']"
199048,"['자동차', '계', '기', '판스월', '마크', '제거', '용', '으로', '좋다해', '서구매', '했는데', '큰', '차이', '없어요', '약하게도', '해보고', '강하게도', '해봤는데', '실질', '적', '으로', '중', '정도', '지워지네요', '뭐', '용도', '안', '맞게', '사용', '제', '잘못', '이긴하지만', '참고', '해주세요']"
96025,"['딱', '원하던거예요', '이런', '재질', '원했어요', '좋아요']"
87468,"['정품', '이랑', '냄새', '다르', '요정', '품', '비교', '했을', '때', '냄새', '점도', '다릅니다', '구매', '하실', '분', '들참고하시길', '요', '앞', '으론', '스킨푸드', '세', '일', '때꼭쟁', '여야']"
100532,"['많이', '짜다고해', '서시', '간', '정도', '물', '담', '가두었는데도', '짜네요', '같', '이산', '총각김치', '맛있었는데', '오이', '지는', '너무', '짜서', '재구', '매는하지', '않을거', '같네요']"
36408,"['꼭', '씻고사', '용하세요', '얼굴', '뽀드락', '나서지', '금도', '얼굴', '검은', '자국', '남앗습니다']"
22296,"['배송', '드럽게', '느리구', '상태', '별로', '안좋아요']"
196893,"['재구매', '배송', '빨랐는데', '블랙', '색상', '아니라고', '동색', '같아요', 'ㅠㅠㅠ']"
40559,"['넓은', '냉장고', '공간', '분리', '정리정돈', '확실하게', '되네요', '깔끔하고', '좋아요']"
94318,"['몸', '모양', '생각', '브단', '불편해요']"
156323,"['쒯더뿩홀리쮓', '오우', '내', '돈']"
25044,"['방부제', '같은', '향', '도나', '아기', '대', '절', '대못', '미쳤음', '공차', '알', '로', '생각', '했는데', 'ㅠ', '버림']"
61125,"['가성', '비', '우수합니다', '좋아요']"
130330,"['생각', '보다', '실망', '입', '니드']"
63134,"['제품', '조금', '안좋은', '것', '같네', '요한', '샘것', '쓰다가', '비슷하길래', '샀더니', '조금', '엉', '성합니다']"
112283,"['향', '좀', '강하고', '냄새', '별로', '예요']"
158174,"['흐밍', 'ㅠㅠㅠ', '먹어줄줄', '알았지만', '젖꼭지', '아니면', '우유', '안', '먹습니다']"
18223,"['제품', '뜯어져있는', '상태', '로', '왔네요']"
161908,"['재구매', '아침', '대용', '으로', '좋습니다']"
196992,"['재구', '매개', '주문', '했는데', '개', '와서', '개는가', '위로', '짤', '랐', '요다음', '번', '에는', '좀', '신경', '써서', '보내주세요']"
101626,"['기다린만큼', '좋았어요', '게임', '종류', '많고', '오류', '없이', '로딩', '되네요', '바로', '연결', '되어', '편해요', '소리', '가나', '서', '고객', '센터', '전화했는데', '간단히', '해결', '되네요', '게임기', '아이', '재밌어하네요']"
73245,"['재구매', '만원', '상사면', '토너', '준', '대', '서', '샀더니', '토너', '안주', '요', '본사', '직영', '이래도', '되는', '겁', '니까']"
197490,"['재구매', '면역', '력', '키우기', '위해', '열심히', '먹을려고', '구매', '했네요']"
97491,"['재구매', '브라', '라', '편하고', '가격', '그냥', '그렇고', '포장', '잘', '되어있구', '배송', '빨라요']"
4292,"['재구매', '일주일', '만에', '고장', '한쪽', '안', '들림', '소리', '제', '일', '크게', '키웠더니', '나감']"
87755,"['예', '전', '그대로', '어머님', '쓰시던', '구정', '뜨', '게실', '있어', '넘', '반갑', '고질', '좋고', '색상', '이쁘네요']"
179178,"['총', '평', '그냥', '작', '찹쌀떡', '구', '운맛', '너무', '작은', '싸이', '즈', '호떡', '아님', '그냥', '구', '운', '찹쌀떡', '기', '대가', '커서', '실망']"
135705,"['바람', '막아주니', '위풍', '덜합니다']"
188552,"['생각', '보다', '안', '싱싱해요', '썩은것', '도개', '들어있었어요', '레몬', '청', '할꺼라서', '그냥', '쓰겠지만', '재구', '매는안하고', '싶네요']"
147919,"['길이', '조금', '만', '더', '짧았음', '좋았을거', '같아', '요긴', '목걸이', '레이어', '드하', '려고', '주문', '거', '라', '조금', '아쉽네요', 'ㅠ']"
165125,"['한쪽', '찌그러져와', '서', '신랑', '폈네요']"
152753,"['아기', '이불', '세탁', '후', '보관', '기', '사이즈', '딱입니다', 'ㅎㅎ']"
176167,"['맛있고', '가격', '저렴해요']"
195889,"['불이안', '켜지고', '제대로', '분', '사가', '안됩니다']"
100744,"['고기', '단맛', '없고', '퍽퍽해', '요']"
49934,"['물', '병', '이나', '깨셔서', '왔고', '유통', '기한', '짧은', '제품', '왔네요', '다시는안', '시키고싶네요']"
95778,"['재구매', '항상', '저렴하게', '팔아서', '좋아요']"
87833,"['가격', '좀더', '싸게', '팔아서', '좋았습니다']"
174530,"['물건', '잘못', '서다시', '받는데오래', '걸렸네요']"
55119,"['다른', '분들', '구', '매', '평이', '좋아서', '삿', '는데', '저', '한테', '온것만', '이런', '가요', '초', '밖에', '안', '돌고', '베어링', '중국산', '이라', '그런', '드르르', '륵', '소리', '가나', '며', '돌아가는', '느낌', '덜', '그', '덕거립', '니']"
19003,"['먹기', '편하게잘', '포장', '되었습니다']"
168027,"['카드', '케이스', '치고', '좀비', '싼가', '-', '했는데', '제', '값', '하는것', '같아요', '-', '그립', '감도', '좋고', '깔끔해요', 'ㅎㅎ']"
60222,"['박스', '완봉', '해서', '보내주세요', '상품', '분', '실시', '누구', '책임', '입', '니까']"
98603,"['좋습니다', '잘쓸께요']"
169322,"['공', '기', '가안', '들어가요', '배앓이', '좋아요']"
67096,"['일요일', '날', '주문', '게다', '음주', '화요일', '에나', '오네요', '대단합니다']"
51389,"['다리하나가', '찌그러져서', '왔습니다']"
32844,"['찐하', '게우려', '밀크', '티나', '아이스티', '로', '마셔요', '티백', '이편', '지만', '가끔', '정통', '방법', '이그리', '울', '때', '있는', '법', '이지', '요']"
58520,"['디자인', '정말', '마음', '들지만', '배송', '너무', '너무', '느렸네요']"
107592,"['성분', '도착', '하고', '쿨링', '감이있', '어감', '때', '두피', '시원해지는', '느낌', '좋아요', '거품', '잘나고', '머릿결', '부들부들해지는', '느낌', '이라', '맘', '들어요']"
180798,"['재구매', '할거예요', '너무', '깨끗해요']"
192033,"['강력', '추천', '합니다', '정말', '좋아', '욜']"
18989,"['좋아요', '요즘', '트러블', '많이', '나', '서', '구입', '했는데', '세', '럼', '주문', '하려고요']"
57666,"['허', '허허', '하하']"
30956,"['좋네요', '크기', '적당하고', '따뜻하게', '찜질', '할수있어서', '좋아요']"
68071,"['폭', '신하', '좋은데', '접착', '력', '약', '한지', '잘', '떨어져요']"
152363,"['재구매', '재구매', '합니다', '은은하니', '너무', '좋아요']"
199445,"['맛', '좋고', '편하고', '건강해지는', '기분']"
164531,"['냄새', '안나', '집', '에서', '하기', '딱좋아요']"
21130,"['재구매', '튼튼해서', '좋네요', '빠른', '배송', '해주십니다', '좋아요']"
1774,"['제품', '자체', '나쁘진', '않은데', '반품', '들어온', '걸다시', '보낸건', '지기', '스', '하고', '찍힘', '자국', '반품', '하기', '귀찮아서', '그냥', '씁니다']"
86472,"['지금', '도착', '완료', '요', '써', '볼게요']"
11077,"['저렴한', '걸', '샀더니', '비닐', '잘안', '떨어지고', '비닐', '접착제', '묻어나와', '별로', '에요']"
114278,"['배송', '빠르고', '조작', '간단해서잘', '사용', '하고', '있어요']"
100080,"['세상', '깜놀', '요', '배송', '느리고이리', '아이', '껀', '그래도', '깨끗히', '박스', '왔고', 'ㅡ', '어른', '껀', '비닐', '첨', '쓰레기', '줄', '알았어요', 'ㅠ']"
103028,"['재구매', '남친', '두', '사줬어요', '잔', '머리', '가나', '드', '라', '구', '요', '머리', '건강해지구']"
36770,"['괜찮은', '것', '같아요', '많이', '파세요']"
195969,"['호주', '신혼여행', '위해', '구입', '했는데', '거의', '안되는', '수준', '으로', '느렸습니다', 'ㅡㅅㅡ', '한마디', '로', '최악', '이구', '요', '저렴한', '맛', '한번', '써', '봤는데', '다시는', '구입', '안해', '요', '리뷰', '쓰고', '포인트', '라도', '받아내야', '마음', '풀릴듯']"
12270,"['거의', '모든', '코팅', '지안', '먼지', '붙어있어서', '더럽게', '되네요', '조금', '더비', '싼거', '살껄', '그랬어요', 'ㅠㅠ', '에이', '포', '용지', '코팅', '하는건데', '가장자리', '부분', '이다', '더러워', '보여요', '미안', '먼지', '들어있어서', '떼어지지', '않아요']"
102149,"['배송', '빠르고', '신발', '잘맞네요', '잘', '신을께요', '번창', '하세요']"
151194,"['손', '뜨', '개실', '파랑색', '보자는', '파랑색', '모자', '부분', '색', '빠짐있어요', '무늬', '주변', '이번', '져있어요', '손', '세탁', '후', '에요', '글', '썬', '캡', '캡', '이랑', '마리', '띠', '부분', '이랑', '삐', '뚫어요']"
177838,"['항상', '쓰는', '겁니다', '조아요']"
35848,"['잘', '물고', '강합니다', '굿', '추천']"
122395,"['금고', '문', '모서리', '쪽', '뻑뻑', '해서', '잘안', '열립니다', '게다가', '그', '뻑뻑', '부분', '페인트', '까지', '벗겨졌어요', '나중', '사포', '사서', '뻑뻑', '않게', '많이', '긁어내', '야할것', '같습니다']"
199037,"['진짜', '효과', '하나', '없어요', '엄마', '랑', '저', '랑', '먹으려고', '두통', '샀는데', '엄마', '랑', '저', '랑', '둘다', '효과', '하나', '없어요', '가격', '솔직히', '다른', '보조', '제대', '비비', '싼', '편', '인데', '이렇게', '효과', '없을지', '몰랐어요']"
104718,"['잘', '받았어요', '가장', '저렴하게', '필요한', '물건', '잘', '샀습니다', '제품', '깔끔했고', '배송', '좋았아요', '배송', '상태', '만족스럽습니다']"
55167,"['재구매', '부담', '없이', '저렴한', '가격', '먹기', '좋네요']"
183635,"['아주', '맛있게잘', '먹었습니다', '또', '구매', '할게요', 'ㅎㅎ']"
125015,"['의자', '편하고', '좋아여', '스크래치', '나', '이런', '더', '못', '찾겟어요', '편히', '쓰기', '좋은데', '엄청', '무거운', '사람', '함부로', '면', '흔들리거나', '다리', '망가질수도', '가격', '대비', '좋습니다']"
149707,"['그냥', '그', '저', '그럭저럭', '그래요']"
176267,"['얼룩', '잘', '안', '지워지더라구요', '얼룩', '제거', '용으', '로지우', '고전', '체적', '으로', '세탁', '면', '깨끗해요', '가격', '좀비', '싼데', '섬유', '좀더', '좋으려니', '하고사', '용합니다']"
18242,"['알곤', '용', '으로', '정말', '좋습니다']"
117710,"['배송', '무척', '빨랐습니다', '라소', '분해서', '담는', '과정', '에서', '현미', '에서', '검은', '물체', '발견', '했는데', '조금', '꺼림', '직하네요', '제', '생각', '그', '건아', '니', '길', '바랍니다']"
52838,"['남자', '요런', '거', '쓰면', '딱']"
160746,"['그냥', '모던', '해서', '좋더라구요']"
183642,['좋습니다']
99150,"['이사', '하면서', '구매', '했는데', '배송', '기간', '짧고', '설치', '간편하고', '쿠션', '감도', '좋습니다']"
183827,"['피부', '촉촉함이오래', '갑니다']"
20167,"['아직', '사용', '전입', '니', '빠른', '배송', '좋았습니다']"
182116,"['콩국', '물정', '말맛', '나', '요', '짱']"
179165,"['아직', '쓰기', '전이', '지만', '동영상', '보고', '면', '될듯']"
96318,"['배송', '늦지', '않게잘', '도착', '했는데', '맛', '은별', '로', '요', '팥', '아니여서', '엄청', '밍숭맹숭', '맛', '이에요']"
79892,"['재구매', '두번째', '주문', '인데', '이번', '에도', '넘', '만족스럽습니다', '또', '주문', '할거에요', 'ㅎㅎ']"
193455,"['전자레인지', '돌려서', '먹어', '봤는데', '정말', '맛있네', '요다음', '에도', '구매', '해야겠어요', 'ㅎㅎ']"
194009,"['재구매', '박스', '젖어있고', '내용물', '흐', '로고', '저렴해서', '구매', '했는데', '담', '에는', '구매', '안', '할것', '같네요']"
32808,"['에펠탑', '방문', '몇개', '해보니', '조금', '익숙해져서', '잘', '붙였습니다', '생기는기', '포', '어쩔', '수', '없지만', 'ㅜㅜ', '바늘', '이나', '쪽', '위로', '구멍', '내서', 'ㅠ', '기', '포', '빼주', '니', '그렇게', '많이', '티', '나진', '않네요', 'ㅎㅎ', '만족합니다']"
95077,"['며칠', '안되서', '바', '닦', '부분', '고리', '껴지는', '곳틑', '어', '져서', '제', '대충', '바느질', '했었는데', '오늘', '보니', '위쪽', '띁', '어', '져서', '솜털', '방울', '어디', '론', '떨어져', '나갔네요', '돈', '아까워요', '완전', '비추', '입니다']"
90848,"['재구매', '재구매', '입니다', '빠른', '배송', '고맙습니다', '표백', '효과', '야', '두', '말', '면', '입', '아프고요', '순한', '성분', '표백제', '라', '믿고', '써요']"
147576,"['구성', '만족스러웠지만', '겉', '상자', '찢어지거나', '해서', '아쉽습니다']"
143849,"['ㅎㅎ', '너무', '좋아요', '거', '처음', '봤을', '때', '넘나', '신세계', '였는데', '그', '이후', '로지', '인들', '한테', '계속', '선물', '하고', '있어요', '그때', '마다', '너무', '신기해하고', '좋아하셔서', '저', '기쁘네요']"
199378,"['믿고', '먹으려', '구', '요']"
77665,"['접착', '이별', '로', '임다', '떨어짐']"
120190,"['소리', '잘안나는', '건지', 'ㅜㅜ', '불어', '잘안나는음', '이있어요', 'ㅜㅜ']"
115812,"['전체', '적', '외관', '만족하는데', '냄새', '잘빠지지', '않는', '점', '이랑', '지지', '대', '너무', '약하네요', '첫날', '소독', '고물', '담다가', '지지', '대', '하나', '부러졌습니다', '맴', '찢']"
57035,"['재', '구매', '번째', '구입', '이지만', '맛', '항상', '똑같고', '일단', '짜지', '않아서', '좋아요']"
194241,"['너', '무기', '대', '했나', '봐여', '소재', '넘', '싼', '티나', '여', '역시', '저렴한', '맛', '걍', '입어여']"
175584,"['큰', '사이즈', '로', '주문', '하길', '추천', '합니다']"
65790,"['좋아요', '화면', '에서', '봤을', '때', '생각', '했던거보다는', '많이', '작', '요', '그래서', '아담한게', '귀엽네요', '조금씩', '음식', '할', '때', '요긴', '쓰이겠어요']"
44471,"['조금', '약해요', '조심해서', '사용']"
1993,"['좋아요', '누드', '로', '구매', '했어요', '손톱', '색', '은은하니', '너무', '좋아요', '그리고', '보기', '에도', '건강하게', '보여요', '여기', '제품', '다른거', '쓰다가', '바꿔', '봤어요']"
54867,"['세', '대', '펜슬', '아무리', '꽉', '눌러', '끼워도', '패드', '몇번', '그', '으면훌러', '덩', '빠져', '버림']"
107140,"['어머니', '께', '따로', '선물', '해드렸는데', '아주', '맘', '들어하셨어요', '-', '저', '뿌듯하네요']"
31239,"['포장', '배송', '맘', '들어요']"
155183,"['재구매', '빠르고', '싸서', '좋아요']"
95886,"['부드럽고', '가볍지만', '마감', '엄청', '지저분하고', '세상', '첨', '보는', '먼지', '털', '가루', '올', '나감있고', '한장', '센치', '면', '양쪽', '끝길', '이기', '많이', '다르다', '커튼', '대용', '으로', '샀는데', '그냥', '만들', '껄털', '치우기', '싫어서', '샀는데', '돈', '아깝다', '반품', '귀찮아우', '선달', '았']"
113572,"['이건모', '달이아니에요', '전혀', '모', '달', '느낌', '없어요', '모', '달이', '라', '서원', '가격', '전혀', '아깝지', '않았는데', '나이', '론', '원', '나주고', '샀네요']"
92478,"['재구매', '이마트', '에서', '주문', '다가', '직구', '했습니다', '아기', '너무', '잘', '먹고', '키도', '쑥쑥', '잘', '크네요']"
170984,"['정품', '빠르게', '구입', '할수있어서', '좋았습니다']"
30460,"['팬더', '됀', '눈', '아래', '위로', '번', '짐니다', '받자마자', '바로', '발라', '봤는데', '몇번', '눈', '깜빡입', '에바', '로', '번지', '요', '왠만한거다', '써', '밨', '는데이건', '좀', '심하네요']"
196496,"['그냥', '합배', '가능한', '길이', '일땐', '끊기지', '않게이어서', '배송', '거', '좋을듯', '해', '요', '잘라', '온', '선', '삐', '뚫어져서', '애매하네요']"
66228,"['맘', '들어요', '아직', '사용', '전이', '지만', '냉장고', '쏙', '들어갈', '크기', '에요', '서랍', '에도', '들어갈거', '같구요', '맘', '들어요']"
158421,"['뭐', '그럭저럭', '맛', '그런데', '배송', '기간', '이나', '상태', '전반', '적', '으로', '완벽하진', '않습니다']"
181965,"['털', '너무', '많이', '묻어나네요', '여기', '신발', '정말', '좋은데', '아쉬워요', 'ㅠㅠㅠ']"
107181,"['음', '진짜', '내', '구성', '좋', '아보', '이고', '단단하고', '각', '지고', '크기', '잘맞고', '친구', '가보', '자마자', '이쁘다', '해줬어요', 'ㅋㅋㅋ', '꼭', '사세요']"
109584,"['배송', '조금', '미뤄져서', '늦게', '받았지만', '생각', '보다', '옷', '재질', '좋고', '편합니다']"
94598,"['우선', '한번', '끝내', '니까', '편하고', '피부', '살아나는', '느낌', '입니다']"
50133,"['재구매', '정말', '맛있게', '드셨다고', '연락', '받았어', '욤', '감사합니다']"
88023,"['역시', '다르네요', '만족합니다']"
3547,"['가가', '나', '건가', '걱', 'ㆍ', '거나', '거나', '긴', 'ㆍ', '기', '나']"
162975,"['티', '랑', '같이', '주문', '했는데', '티', '완전', '그지같은', '서', '택', '없고', '누런것', '묻어있고', '최악', '이라', '바지', '최악', '평점', '드립니다']"
35261,"['포장', '잘', '되어', '왔네요', '밥맛', '좋겠죠']"
28691,"['구', '매', '평이', '라', '람']"
149392,"['재구매', '며칠', '전', '같은', '디자인', '으로', '여러', '사이즈', '주문', '하고', '이번', '에다', '시', '다른', '사이즈', '개', '주문', '했습니다', '그런데', '전', '주문', '사이즈', '보다', '이번', '주문', '한호', '사이즈', '가더', '작네요', 'ㅡㅡ']"
65460,"['기존', '있던거와', '비슷한것으로', '선택', '건데', '다리', '높이', '도안', '맞고', '포장', '박스', '엔', '몇', '년', '묵은', '먼지', '바가지', '부직포', '찟겨', '서', '왔지만', '반품', '귀찮고', '어차피', '싼거', '려니', '하고', '높이', '맞춰', '그냥', '씁니다']"
141654,"['촉감', '부드럽고', '가격', '대비', '만족합니다', '추가', '구매', '해야겠어요']"
64803,"['줄', '좋았는데', '투명', '케이스', '이상한게', '왔어요', '반품', '하기', '귀찮아서', '그냥', '쓰지만', '케이스', '에기', '스', '너무', '많고', '신경', '써서', '보내야하실듯', '해', '요']"
57641,"['품질', '대비', '비싸요', '풀질', '대비', '비싸요', '엄청', '허', '술', '거든요', 'ㅠ', '매뉴얼', '종이', '잘', '못', '되있고', '어떻게', '조립', '라는', '건지', '조립', '볼트', '부분', '플라스틱', '랔', 'ㅋㅋㅋ', '샴푸', '펌핑', '꿈', '못꿈']"
87265,"['음', '사이즈', '넘', '커서', '안전벨트', '안', '할', '때끝', '까지', '안', '들어가요', 'ㅠㅠ', '작은거', '살걸', '그', '랫', '어', '요']"
142699,"['모', '달', '소재', '이불', '세트', '있어서', '차렵', '이불', '구매', '했어요', '구성', '일차', '너무', '싸게', '잘산듯']"
115916,"['생각', '보다', '너무', '작', '앙', 'ㅜㅜ']"
77419,"['배송', '생각', '보다', '빨랐는데', '포장', '뜯어', '보고', '너무', '실망했어', '요기스', '난', '것', '그렇고', '노란거는', '녹슨건', '가요', '물티슈', '알콜', '로', '닦아도', '지워지지', '않아요', '이미', '포장', '뜯어서', '환불', '안될것', '같아', '그냥', '사용', '하려', '고합', '니']"
70023,"['품질', '생각', '보다', '별로', '고무', '냠', '새나요']"
137369,"['방음', '잘', '안되네요']"
156140,"['삼', '성', '정품', '이어폰', '이랑', '똑같은', '건주', '알았는데', '딱', '봐', '도아', '니', '내', '요정', '품', '이랑', '확연', '가볍고선', '마감', '절단', '나', '기일', '보직', '전입', '니', '음질', '정말', '저급', '고요', '바로', '버렸습니다']"
23768,"['남편', '쓰는데', '좋다', '고해', '요', 'ㅎㅎ']"
171900,"['맘', '들어요', '세차', '하러', '갑니다']"
115915,"['별로', '뇨', 'ㅠㅠㅠ']"
47888,"['재구매', '큰아이', '기저귀', '로', '쓰는데', '아침', '일어나서', '보면', '뽀송뽀송해요']"
124924,"['맛있는데', '가격', '좀더', '낮춰줘', 'ㅜㄷ', 'ㆍ']"
124538,"['별로', '너', '노조', '뉴마']"
97851,"['색상', '별로', '두번째', '주문', '에도', '만족']"
102570,"['잘쓸게요', '스티커', '편해요']"
155369,"['될', '때', '있고잘', '안될', '때', '있어요']"
12406,"['당', '일', '배송', '된다면서', '다음', '날', '왔네요', '당일', '배송', '시려는', '분', '참고하세여']"
124362,"['할', '미사', '드렸어요']"
134381,"['알집', '매트', '쓰다가', '사이', '먼지', '끼는거', '때문', '찾아보다가', '구매', '했어요', '와이', '거', '진짜', '좋아요', '푹신푹신', '하고', '무게', '감있어잘', '밀리지도', '않고', '넘', '좋아요']"
9376,"['일', '단가', '성비', '짱', '입니다', '가격', '어디가', '없죠', '제차', '사용', '중', '인데', '바람', '잘', '들어옵니다', '저희', '동네', '저녁', '에는', '시골', '냄새', '퇴비', '가나', '곳', '으로', '지나가는데', '냄새', '않나', '는것', '같아요', '머제', '느낌', '상', '좋은', '것', '같아요']"
23302,"['계속', '시켜', '먹고있어요', '굳']"
125230,"['판매', '글', '읽어', '보고', '사이즈', '맞춰서', '샀는데', '작아서', '답답하네요', '그리', '고번', '빨았는데', '접착', '부분', '뜯어져서', '못', '입게', '되었네요', '두', '개삿', '는데하나는', '박음질', '되어있어서', '안', '뜯어졌는데', '블랙', '원래', '박음질', '안된', '건지', '불량', '인지', '모르겠네요']"
5798,"['구김이잘', '가는', '재질', '이고', '몇번', '못', '입을것', '같아요']"
94363,"['가격', '너', '무고', '급', '지고', '예쁩니다', '식구', '이쁘다고', '난리', '요']"
47511,"['재구매', '엄청', '좋아요', '항상', '것', '만', '입어요']"
151978,"['뚜껑', '절', '대안', '열리네요']"
27899,"['기대', '보다', '별', '루', '여', 'ㅜ']"
150265,"['맛있네요', '지금', '또', '구매', '하려', '고합', '니']"
37887,"['사', '용감', '많아질수록', '보풀', '일어나네요', '비슷한', '질감', '다른', '브랜드', '티셔츠', '년', '끄', '떡', '없이', '보풀', '이안', '일어나는데', '그게', '좀', '아쉽습니다']"
73397,"['불량품', 'ㅡㅡ', '드라이버', '깔고', '삽질', '계속', '했는데', '실상', '장치', '관리', '에서', '뜨질', '않네요']"
